PERIFEREIA	PRCODE	EKL_PERIF	DIMOS	ET	ADDRESS	PLACE	PSIFISAN	AKIRA_LEFKA	EGGIRA	Geor	Meim	Mits	Tzi	rGeor	rMeim	rMits	rTzi	pGeor	pMeim	pMits	pTzi
PAMTH	1	ΕΒΡΟΥ	ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ	2001	ΛΕΩΦΟΡΟΣ ΔΗΜΟΚΡΑΤΙΑΣ 307	ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΒΡΟΥ (3οs ΟΡΟΦΟΣ)	444	4	440	34	211	131	64	4	1	2	3	7.73%	47.95%	29.77%	14.55%
PAMTH	1	ΕΒΡΟΥ	ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ	2002	ΛΕΩΦΟΡΟΣ ΔΗΜΟΚΡΑΤΙΑΣ 307	ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΒΡΟΥ (3οs ΟΡΟΦΟΣ)	505	4	501	47	213	165	76	4	1	2	3	9.38%	42.51%	32.93%	15.17%
PAMTH	1	ΕΒΡΟΥ	ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ	2003	ΛΕΩΦΟΡΟΣ ΔΗΜΟΚΡΑΤΙΑΣ 307	ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΒΡΟΥ (3οs ΟΡΟΦΟΣ)	327	6	321	35	137	79	70	4	1	2	3	10.90%	42.68%	24.61%	21.81%
PAMTH	1	ΕΒΡΟΥ	ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ	2004	ΛΕΩΦΟΡΟΣ ΔΗΜΟΚΡΑΤΙΑΣ 307	ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΒΡΟΥ (3οs ΟΡΟΦΟΣ)	341	2	339	40	120	103	76	4	1	2	3	11.80%	35.40%	30.38%	22.42%
PAMTH	1	ΕΒΡΟΥ	ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ	2005	ΚΥΠΡΟΥ 5	ΝΟΔΕ ΕΒΡΟΥ	512	5	507	42	244	116	105	4	1	2	3	8.28%	48.13%	22.88%	20.71%
PAMTH	1	ΕΒΡΟΥ	ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ	2006	ΑΝΘΕΙΑ	ΔΗΜΟΤΙΚΟ ΚΑΤΑΣΤΗΜΑ	106	3	103	8	44	37	14	4	1	2	3	7.77%	42.72%	35.92%	13.59%
PAMTH	1	ΕΒΡΟΥ	ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ	2007	ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ 1	ΑΜΦΙΘΕΑΤΡΟ ΔΗΜΟΤΙΚΟΥ ΚΑΤΑΣΤΗΜΑΤΟΣ ΦΕΡΩΝ	163	4	159	5	68	30	56	4	1	3	2	3.14%	42.77%	18.87%	35.22%
PAMTH	1	ΕΒΡΟΥ	ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ	2008	ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ 1	ΑΜΦΙΘΕΑΤΡΟ ΔΗΜΟΤΙΚΟΥ ΚΑΤΑΣΤΗΜΑΤΟΣ ΦΕΡΩΝ	148	1	147	10	71	25	41	4	1	3	2	6.80%	48.30%	17.01%	27.89%
PAMTH	1	ΕΒΡΟΥ	ΣΟΥΦΛΙΟΥ	2009	ΒΑΣΙΛΕΩΣ ΓΕΩΡΓΙΟΥ	ΔΗΜΑΡΧΕΙΟ	298	0	298	10	103	133	52	4	2	1	3	3.36%	34.56%	44.63%	17.45%
PAMTH	1	ΕΒΡΟΥ	ΣΟΥΦΛΙΟΥ	2010	ΤΟΜΠΑΪΔΗ 21	ΠΟΛΥΚΕΝΤΡΟ	179	4	175	13	70	49	43	4	1	2	3	7.43%	40.00%	28.00%	24.57%
PAMTH	1	ΕΒΡΟΥ	ΣΟΥΦΛΙΟΥ	2011	ΛΑΒΑΡΑ	ΔΗΜΟΤΙΚΟ ΚΑΤΑΣΤΗΜΑ	96	0	96	7	39	30	20	4	1	2	3	7.29%	40.63%	31.25%	20.83%
